system:index,dong,grid_id,gu,mean,.geo
000000000000000007f1,망우본동,G_2182,중랑구,273.96964724,"{""type"":""Point"",""coordinates"":[127.10252856449505,37.61125991931891]}"
000000000000000007f2,망우본동,G_2183,중랑구,276.66817403,"{""type"":""Point"",""coordinates"":[127.10802663609395,37.61125991931892]}"
00000000000000000721,면목2동,G_1956,중랑구,276.60835868,"{""type"":""Point"",""coordinates"":[127.07502928829845,37.58875929540322]}"
00000000000000000722,면목2동,G_1957,중랑구,276.69039116,"{""type"":""Point"",""coordinates"":[127.08052735989735,37.58875929540322]}"
000000000000000006ca,면목3·8동,G_1856,중랑구,272.75112311,"{""type"":""Point"",""coordinates"":[127.10252856449505,37.57976082947737]}"
000000000000000006f8,면목3·8동,G_1908,중랑구,276.22724945,"{""type"":""Point"",""coordinates"":[127.0860298905973,37.58426006244029]}"
000000000000000006fa,면목3·8동,G_1910,중랑구,275.09588483,"{""type"":""Point"",""coordinates"":[127.09703049289615,37.58426006244029]}"
000000000000000006fb,면목3·8동,G_1911,중랑구,272.54262388999996,"{""type"":""Point"",""coordinates"":[127.10252856449505,37.58426006244029]}"
00000000000000000725,면목3·8동,G_1960,중랑구,275.54364545,"{""type"":""Point"",""coordinates"":[127.09703049289615,37.58875929540322]}"
00000000000000000726,면목3·8동,G_1961,중랑구,273.90128684,"{""type"":""Point"",""coordinates"":[127.10252856449505,37.58875929540322]}"
00000000000000000654,면목4동,G_1724,중랑구,274.00040942,"{""type"":""Point"",""coordinates"":[127.0915279621962,37.57076236355151]}"
00000000000000000691,면목4동,G_1790,중랑구,276.82198493,"{""type"":""Point"",""coordinates"":[127.08052735989735,37.575261596514444]}"
00000000000000000692,면목4동,G_1791,중랑구,276.22041341,"{""type"":""Point"",""coordinates"":[127.0860298905973,37.575261596514444]}"
000000000000000006c6,면목5동,G_1852,중랑구,277.42013842999995,"{""type"":""Point"",""coordinates"":[127.08052735989735,37.57976082947738]}"
000000000000000006f6,면목5동,G_1906,중랑구,278.72411306000004,"{""type"":""Point"",""coordinates"":[127.07502928829845,37.58426006244029]}"
000000000000000006f7,면목5동,G_1907,중랑구,275.85468527,"{""type"":""Point"",""coordinates"":[127.08052735989735,37.58426006244029]}"
00000000000000000693,면목7동,G_1792,중랑구,273.1595765,"{""type"":""Point"",""coordinates"":[127.0915279621962,37.575261596514444]}"
00000000000000000694,면목7동,G_1793,중랑구,271.97352356,"{""type"":""Point"",""coordinates"":[127.09703049289615,37.575261596514444]}"
000000000000000006c7,면목7동,G_1853,중랑구,275.71454645,"{""type"":""Point"",""coordinates"":[127.0860298905973,37.57976082947737]}"
000000000000000006c8,면목7동,G_1854,중랑구,275.44452287,"{""type"":""Point"",""coordinates"":[127.0915279621962,37.57976082947737]}"
000000000000000006c9,면목7동,G_1855,중랑구,273.67227949999995,"{""type"":""Point"",""coordinates"":[127.09703049289615,37.57976082947737]}"
000000000000000006f9,면목본동,G_1909,중랑구,276.48018292999996,"{""type"":""Point"",""coordinates"":[127.0915279621962,37.58426006244029]}"
00000000000000000723,면목본동,G_1958,중랑구,277.10226257,"{""type"":""Point"",""coordinates"":[127.0860298905973,37.58875929540322]}"
00000000000000000724,면목본동,G_1959,중랑구,275.94355379,"{""type"":""Point"",""coordinates"":[127.0915279621962,37.58875929540322]}"
0000000000000000074e,면목본동,G_2006,중랑구,275.96747992999997,"{""type"":""Point"",""coordinates"":[127.0915279621962,37.59325852836615]}"
