지하차도명,주소,위도,경도
서울교접속지하보차도,서울특별시 영등포구 영등포동2가,37.5207969614044,126.91150771146
인수봉로지하차도,서울특별시 강북구 수유동,37.6424621841483,127.022094520762
국제선진입지하차도,서울특별시 강서구 방화동,37.571309073515,126.811820803059
구반포지하차도,서울특별시 중랑구 신내동,37.6058747809887,127.09936528756
우디안지하차도,서울특별시 영등포구 도림로,37.5049436062008,126.90256269501
오목교서측지하차도,서울특별시 양천구 목동,37.5304364108361,126.870989288343
마장철도횡단지하차도,서울특별시 성동구 마장동,37.5663795479871,127.045325760782
구일역앞지하보차도,서울특별시 구로구 구로동,37.4957707378732,126.882642231121
고구동산지하차도,서울특별시 동작구 본동,37.513029355907,126.954204316851
신정교동측지하차도,서울특별시 영등포구 문래동5가,37.5162865616224,126.8844154127
국제선방향지하차도,서울특별시 강서구 방화동,37.571309073515,126.811820803059
신원박스지하차도,서울특별시 서초구 신원동,37.4440189779747,127.062170998757
중계로지하차도,서울특별시 노원구 중계동,37.6525550467648,127.077488598779
구로큰길2지하차도,서울특별시 구로구 구로동,37.4957707378732,126.882642231121
구로큰길1지하차도,서울특별시 구로구 구로동,37.4957707378732,126.882642231121
암사지하차도,서울특별시 강동구 암사동,37.5591140475276,127.13168588897
수락산지하차도,서울특별시 노원구 상계동,37.66125057554,127.060252770712
월계3지하차도,서울특별시 노원구 월계동,37.6199191869585,127.062987742987
청덕초교앞굴다리지하차도,서울특별시 성북구 정릉동,37.6185808255471,126.995482832879
덕릉지하차도,서울특별시 노원구 상계동,37.66125057554,127.060252770712
장승배기지하차도,서울특별시 동작구 상도동,37.4985163075707,126.939014238644
중랑IC1지하차도,서울특별시 중랑구 신내동,37.6058747809887,127.09936528756
석계역지하차도,서울특별시 성북구 석관동,37.6129860183722,127.0614007785
오목교동측지하보차도,서울특별시 영등포구 양평동2가,37.5234853215282,126.882336382875
위례장지지하차도,서울특별시 송파구 거여동,37.4969242257406,127.143310298223
장지동길지하차도,서울특별시 송파구 장지동,37.4785083981104,127.136582139995
