도로폭,시점,Latitude,Longitude,종점,Latitude,Longitude
6,중곡동 73-48,37.5600171,127.0951184,중곡동 73-110,37.5583192,127.0948195
7,중곡동 73-49,37.5600083,127.0949744,중곡동 73-16,37.5600731,127.0959486
5,중곡동 73-37,37.5600405,127.0954553,중곡동 73-67,37.5589959,127.0955429
4,중곡동 72-63,37.5609642,127.0955662,중곡동 72-79,37.5617397,127.0956418
5,중곡동 72-69,37.5618653,127.0958256,중곡동 72-86,37.5610858,127.0951156
7,중곡동 248-3,37.5637165,127.0775518,중곡동 254-12,37.5614883,127.0767002
7,중곡동 239-82,37.5637721,127.0785663,중곡동 233-1,37.5655233,127.0793634
7,중곡동 247-7,37.5634889,127.0783128,중곡동 255-5,37.5611201,127.0777213
6,중곡동 239-85,37.5636199,127.0790615,중곡동 198-1,37.5692647,127.0831856
7,중곡동 246-8,37.5632932,127.0789234,중곡동 627-3,37.5596238,127.0771238
7,중곡동 241-23,37.5631078,127.0805674,중곡동 193-1,37.5662856,127.0821677
15,자양동 227-8,37.5375641,127.0699241,자양동 578-7,37.535537,127.0754172
4,화양동 5-43,37.5417549,127.0712147,화양동 5-29,37.5419269,127.0707052
9,화양동 5-1,37.5422743,127.0714232,화양동 31-11,37.5460456,127.0678856
6,화양동 2-9,37.5448897,127.072693,화양동 1-20,37.5449346,127.0713277
6,화양동 39-4,37.5449467,127.073278,화양동 495-19,37.545458,127.0763187
7,화양동 94-59,37.5459179,127.07321,화양동 132-64,37.546746,127.0703928
9,화양동 111-204,37.5468594,127.0736483,화양동 132-64,37.546746,127.0703928
8,자양동 74-14,37.5323179,127.0667332,자양동 87-1,37.5325733,127.0657223
7,군자동 273,37.5511625,127.0758994,군자동 149-11,37.5535148,127.0738864
7,군자동 270,37.551712,127.0763045,군자동 28-1,37.5533628,127.0754887
7,능동 315-9,37.5519353,127.0770971,능동 232-1,37.554298,127.0811797
6,군자동 242-0,37.5529372,127.0768995,군자동 149-8,37.553634,127.0740948
7,능동 283-6,37.5529648,127.0775577,능동 313-8,37.5522565,127.078674
7,군자동 27-23,37.5536905,127.0768419,군자동 28-5,37.5531837,127.0748501
6,군자동 27-2,37.5535222,127.0771404,군자동 70-3,37.5549389,127.0764615
4,군자동 71-1,37.5544933,127.0764922,군자동 73,37.5534819,127.0744795
5,능동 283-30,37.5533215,127.0777553,능동 389-6,37.5527734,127.0794409
7,군자동 45-12,37.5546946,127.0772092,군자동 45-1,37.5556581,127.0777262
7,군자동 2-12,37.5544445,127.0771529,군자동 2-20,37.5546486,127.0767038
6,능동 282-6,37.5544693,127.0783326,능동 389-3,37.5528351,127.0795692
6,군자동 1-1,37.5554749,127.0782008,군자동 475-1,37.5560173,127.0768591
8,능동 282-1,37.5551353,127.0786842,능동 257-25,37.5521225,127.0874079
6,능동 279-4,37.5558576,127.0791002,능동 254-7,37.5527863,127.087578
9,군자동 477-19,37.5564907,127.0787079,군자동 471-12,37.5570532,127.0772851
8,능동 276-4,37.5564635,127.0794563,능동 256-5,37.5524054,127.0888911
9,중곡동 649-8,37.5578753,127.0795622,중곡동 639-1,37.5586629,127.077431
8,중곡동 158-19,37.5579302,127.0801525,중곡동 142-36,37.5571005,127.0821135
7,중곡동 648-17,37.5583188,127.079897,중곡동 640-1,37.5591939,127.0777321
6,자양동 831-1,37.5332573,127.066005,자양동 84-1,37.533135,127.064552
9,자양동 829-0,37.533088,127.0668267,자양동 57-86,37.5344353,127.0630122
5,자양동 78-24,37.533899,127.0657283,자양동 52-89,37.5347637,127.0650453
7,자양동 79-14,37.5337857,127.0653267,자양동 92-1,37.5326842,127.0638822
6,자양동 57-94,37.5340556,127.0651445,자양동 58-3,37.534594,127.0648449
5,자양동 81-0,37.5342445,127.0645186,자양동 52-109,37.5347121,127.0647964
7,중곡동 161-44,37.5583901,127.080381,중곡동 141-27,37.5575783,127.0823843
7,중곡동 647-25,37.5597141,127.0805839,중곡동 643-1,37.5602256,127.0788952
6,중곡동 47-14,37.5596754,127.0811665,중곡동 53-31,37.5583076,127.0850693
8,중곡동 162-1,37.5609637,127.0813095,중곡동 257-8,37.5617117,127.07911
8,중곡동 41-38,37.5609971,127.0818727,중곡동 44-9,37.5602843,127.083892
4,중곡동 41-17,37.5614736,127.0821349,중곡동 44-2,37.5607597,127.0841644
7,중곡동 164-1,37.5627248,127.0822682,중곡동 241-1,37.5636385,127.0801832
5,중곡동 35-63,37.5619418,127.0856517,중곡동 35-47,37.5632611,127.0858152
6,중곡동 31-38,37.5629236,127.0829219,중곡동 150-107,37.5621386,127.0869761
7,중곡동 165-1,37.5642418,127.0830708,중곡동 230-14,37.5649656,127.0809072
9,자양동 553-28,37.5340047,127.0681498,자양동 447-9,37.531692,127.074516
7,중곡동 165-1,37.5642418,127.0830708,중곡동 21-11,37.5633933,127.0872269
7,중곡동 166-34,37.5656968,127.0839545,중곡동 193-26,37.56645,127.0817479
7,중곡동 167-1,37.5662648,127.0842524,중곡동 172-59,37.5670318,127.082072
9,중곡동 168-1,37.5680339,127.0852032,중곡동 170-24,37.5679595,127.0825516
4,중곡동 169-41,37.5683771,127.0854325,중곡동 169-58,37.5679667,127.0839275
9,중곡동 169-8,37.5686098,127.0849881,중곡동 169-21,37.5684575,127.0828618
8,자양동 508-1,37.5361381,127.0685766,자양동 553-57,37.5371492,127.0654205
9,자양동 504-0,37.5345981,127.0691877,자양동 504-1,37.5341499,127.0699972
8,자양동 784-1,37.5364277,127.0682849,자양동 845-1,37.5377663,127.0655388
8,자양동 510-5,37.5369127,127.0696803,자양동 515-1,37.5367331,127.0705945
6,자양동 861-4,37.531692,127.074516,자양동 847-15,37.5382817,127.0664089
4,중곡동 582-3,37.5715252,127.0807623,중곡동 583-11,37.5709837,127.0805284
8,중곡동 580-0,37.5714924,127.0810417,중곡동 585-3,37.570427,127.0805029
8,중곡동 566-1,37.5714411,127.0815464,중곡동 177-32,37.5692973,127.0806443
4,중곡동 564-1,37.5713852,127.0821,중곡동 569-4,37.5706408,127.0819879
8,중곡동 561-2,37.5712922,127.0828721,중곡동 211-20,37.569365,127.0825692
8,중곡동 552-1,37.5711326,127.0838831,중곡동 198-39,37.5686902,127.0834687
6,중곡동 548-11,37.5710335,127.0844437,중곡동 197-3,37.5691044,127.0841504
6,중곡동 542-1,37.5709246,127.085035,중곡동 195-11,37.5692478,127.0847509
4,자양동 835-19,37.5382775,127.0634122,자양동 832-33,37.5390384,127.0643727
8,자양동 249-5,37.5390516,127.0625446,자양동 843-11,37.5372775,127.0646348
5,자양동 836-16,37.5380581,127.0636671,자양동 839-6,37.5385048,127.0648067
5,자양동 40-41,37.5377108,127.0640478,자양동 842-14,37.538029,127.0654071
6,자양동 250-70,37.5391705,127.0625392,자양동 25-1,37.539918,127.0629534
4,자양동 250-21,37.5392715,127.0626516,자양동 249-27,37.5384445,127.063206
6,자양동 251-64,37.5397299,127.0629733,자양동 832-30,37.5388143,127.0639678
6,자양동 12-28,37.539494,127.0645335,자양동 840-14,37.5386805,127.0652399
12,자양동 24-19,37.540195,127.0632881,자양동 2-53,37.5381285,127.0694943
5,자양동 11-10,37.5392102,127.0653776,자양동 841-9,37.5383213,127.0655882
9,자양동 23-3,37.5416425,127.0639961,자양동 1-2,37.5395241,127.0701548
8,화양동 42-16,37.5426902,127.0647551,화양동 5-47,37.5406957,127.070739
6,화양동 234-0,37.5445063,127.0658448,화양동 11-9,37.542381,127.0706924
6,화양동 41-3,37.5454592,127.0661492,화양동 33-43,37.5445856,127.0691974
6,화양동 23-40,37.5468862,127.0670504,화양동 16-86,37.5458627,127.0703537
9,자양동 210-22,37.5351059,127.0604322,자양동 57-82,37.5346906,127.0628391
7,화양동 21-15,37.5477558,127.0675236,화양동 18-26,37.5475678,127.0702093
7,군자동 354-5,37.5496398,127.0685325,군자동 352-8,37.5492771,127.0694925
8,군자동 350-8,37.5502438,127.0689051,군자동 346-21,37.5495654,127.070639
5,군자동 349-3,37.5511048,127.0693394,군자동 349-9,37.5512994,127.0700503
7,군자동 344-1,37.5516338,127.0697088,군자동 343-17,37.5512605,127.0708889
5,군자동 341-47,37.5517556,127.0696144,군자동 342-20,37.5514559,127.0710074
