,교량명,시도명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도
8432,장평교,서울특별시,37.571955,127.077065,37.571782,127.079295
8433,청량제1고가차도,서울특별시,37.587973,127.054528,37.587881,127.054842
8434,청량제2고가차도,서울특별시,37.585537,127.05182,37.585371,127.052095
8435,행당고가차도,서울특별시,37.558026,127.039417,37.558179,127.039038
8436,이문고가교,서울특별시,37.599396,127.067695,37.604874,127.067122
8437,뚝섬고가차도,서울특별시,37.53796,127.043976,37.538125,127.043214
8438,신답고가차도,서울특별시,37.570872,127.049713,37.571028,127.049863
8439,살곶이화해교,서울특별시,37.553898,127.045512,37.55397,127.045863
8440,정릉천교,서울특별시,37.572171,127.035151,37.572434,127.035958
8441,성동교(신교),서울특별시,37.554177,127.04365,37.551902,127.044
8442,장안교(신교),서울특별시,37.580357,127.076276,37.580714,127.077295
8443,장안교(하행),서울특별시,37.580373,127.076126,37.581205,127.078465
8444,금호고가차도,서울특별시,37.544745,127.024602,37.54465,127.024396
8445,안양천교,서울특별시,37.554427,126.875821,37.553895,126.877783
8446,탄천교,서울특별시,37.51843,127.06687,37.518371,127.067962
8447,난지교,서울특별시,37.575906,126.861259,37.575632,126.861761
8448,고덕천교,서울특별시,37.570474,127.157767,37.571064,127.157774
8449,성내천교,서울특별시,37.523605,127.101436,37.524469,127.102088
8450,반포천교,서울특별시,37.505401,126.978107,37.505591,126.979017
8451,난지중앙연결 브릿지,서울특별시,37.56752,126.878005,37.568135,126.878547
8452,만초천교,서울특별시,37.529997,126.951875,37.530371,126.951504
8453,홍제천교,서울특별시,37.558668,126.892506,37.559017,126.892084
8454,봉원천교,서울특별시,37.543158,126.929578,37.543368,126.928992
8455,중랑천교,서울특별시,37.54468,127.031591,37.545833,127.030561
8456,동빙고다리,서울특별시,37.520231,126.996332,37.520362,126.995956
8457,두모교,서울특별시,37.518828,126.992973,37.54319,127.028583
8458,반포북단교,서울특별시,37.519814,126.994895,37.519251,126.993504
8459,서빙고고가차도(구),서울특별시,37.524198,127.001951,37.523004,127.001109
8460,서빙고다리,서울특별시,37.516306,126.986217,37.516342,126.986542
8461,새남터다리,서울특별시,37.525144,126.953913,37.52495,126.954507
8462,뚝도1교,서울특별시,37.551394,127.040684,37.550386,127.038838
8463,뚝도2교,서울특별시,37.550955,127.039917,37.551527,127.041416
8464,군자하단IC교,서울특별시,37.557984,127.068459,37.556902,127.0704
8465,송정교,서울특별시,37.553112,127.066385,37.556243,127.067172
8466,아차산대교(상행),서울특별시,37.545501,127.109099,37.565705,127.119377
8467,자양고가교,서울특별시,37.527417,127.085804,37.53071,127.092076
8468,중랑상단IC교,서울특별시,37.595846,127.070634,37.595539,127.068439
8469,군자상단IC교,서울특별시,37.56318,127.075257,37.563976,127.073058
8470,중랑하단IC교,서울특별시,37.589512,127.069993,37.58978,127.071966
8471,면목천교,서울특별시,37.576463,127.078955,37.577328,127.078871
8472,묵동천교,서울특별시,37.615043,127.072307,37.615877,127.072184
8473,신내1교,서울특별시,37.615859,127.102539,37.615933,127.102216
8474,월릉I.C 화랑로 접속램프,서울특별시,37.615169,127.072769,37.61641,127.072937
8475,돌곶이교,서울특별시,37.61285,127.070635,37.614587,127.070721
8476,월릉하단IC교,서울특별시,37.611361,127.070455,37.611353,127.072736
8477,북부고가교,서울특별시,37.602445,127.037478,37.610114,126.993675
8478,공대천교,서울특별시,37.62459,127.0703,37.624813,127.070165
8479,월릉상단IC교,서울특별시,37.619927,127.071972,37.619892,127.070262
8480,당현4교,서울특별시,37.638487,127.059176,37.638023,127.059555
8481,수락고가교,서울특별시,37.676767,127.051005,37.680235,127.051937
8482,망원1교,서울특별시,37.559458,126.894143,37.559722,126.8924
8483,망원2교,서울특별시,37.558903,126.893145,37.559506,126.89246
8484,망원3교,서울특별시,37.559029,126.892814,37.559337,126.892477
8485,망원4교,서울특별시,37.558898,126.892775,37.559315,126.892347
8486,망원5교,서울특별시,37.558776,126.892656,37.559258,126.892203
8487,홍제천고가교(강변3공구),서울특별시,37.561668,126.897241,37.554802,126.896662
8488,염창IC교,서울특별시,37.550354,126.87801,37.552211,126.879563
8489,염창교,서울특별시,37.552679,126.878561,37.554108,126.875537
8490,노량대교,서울특별시,37.515441,126.952094,37.506744,126.972681
8491,동작교,서울특별시,37.504272,126.978741,37.504257,126.979753
8492,내곡IC,서울특별시,37.45793,127.075646,37.459188,127.074929
8493,동작2교,서울특별시,37.50461,126.978223,37.504597,126.979569
8494,반포대교통과교,서울특별시,37.517925,126.991737,37.520137,126.996758
8495,신동작2교,서울특별시,37.504651,126.97822,37.504624,126.979575
8496,서초3교,서울특별시,37.487684,127.024429,37.48708,127.0247
8497,서초교,서울특별시,37.501723,127.01909,37.501209,127.019333
8498,양재천교,서울특별시,37.471408,127.032422,37.471917,127.031944
8499,신사1고가,서울특별시,37.520169,127.017746,37.520009,127.017828
8500,신사2고가,서울특별시,37.515085,127.015519,37.514887,127.015465
8501,탄천2고가교,서울특별시,37.520662,127.064152,37.497869,127.086309
8502,탄천1고가교,서울특별시,37.484784,127.109344,37.476028,127.119368
8503,한남대교남단2교,서울특별시,37.524631,127.016731,37.524307,127.017433
8504,청담1교,서울특별시,37.518505,127.065402,37.518075,127.070056
8505,잠원고가교,서울특별시,37.523095,127.014548,37.515112,127.015508
8506,신천1교,서울특별시,37.523448,127.10259,37.524425,127.103805
8507,상행1교,서울특별시,37.517806,127.091262,37.518055,127.091989
8508,상행2교,서울특별시,37.521083,127.098629,37.521194,127.098829
8509,하행3교,서울특별시,37.521657,127.098753,37.521279,127.098108
8510,하행4교,서울특별시,37.518239,127.091659,37.518142,127.091335
8511,청담2교,서울특별시,37.518485,127.069901,37.519533,127.064659
8512,상행3교,서울특별시,37.538584,127.115431,37.538845,127.115765
8513,하행1교,서울특별시,37.544985,127.120598,37.545332,127.120757
8514,고덕천교,서울특별시,37.570144,127.158154,37.570398,127.158681
8515,영동대교북단E램프교,서울특별시,37.535038,127.059028,37.533615,127.058237
8516,두모교접속교,서울특별시,37.519681,126.994386,37.519634,126.994271
8517,한남대교남단1교,서울특별시,37.521938,127.013563,37.521442,127.013925
8518,여의상류IC교,서울특별시,37.515948,126.937007,37.517231,126.943929
8519,테크노차도육교,서울특별시,37.535681,127.097125,37.535467,127.097419
8520,잠실대교북단램프D교,서울특별시,37.529164,127.08955,37.529773,127.089408
8521,영동대교북단램프D교,서울특별시,37.533037,127.060408,37.533982,127.060924
8522,잠실대교북단램프C교,서울특별시,37.528393,127.086686,37.528079,127.087298
8523,반포고가,서울특별시,37.508564,127.016422,37.504347,127.018141
8524,개화램프A교,서울특별시,37.590054,126.806069,37.591032,126.806568
8525,개화램프D교,서울특별시,37.592696,126.800114,37.5905,126.799676
8526,행주3교,서울특별시,37.593337,126.802767,37.593223,126.801169
8527,행주4교,서울특별시,37.592922,126.801524,37.592944,126.801988
8528,양화대교북단램프교(F-1),서울특별시,37.548216,126.907294,37.547589,126.907055
8529,양화대교북단램프교(F-2),서울특별시,37.545978,126.909331,37.546263,126.909987
8530,성산대교북단램프교(C-1),서울특별시,37.558835,126.893404,37.558196,126.893353
8531,성산대교북단램프교(C-2),서울특별시,37.557138,126.894452,37.556817,126.895508
8532,한남입체시설램프A,서울특별시,37.519396,127.018014,37.521027,127.018309
8533,천호대교 북단U턴차로교,서울특별시,37.540832,127.103825,37.541046,127.10408
8534,아천IC Ramp-F,서울특별시,37.572291,127.126268,37.572775,127.128272
8535,아천IC Ramp-G,서울특별시,37.571322,127.126164,37.574327,127.130018
8536,아천IC Ramp-K,서울특별시,37.575527,127.124626,37.574724,127.125836
8537,아천IC Ramp-L,서울특별시,37.575129,127.126414,37.575954,127.125379
8538,아차산대교(하행),서울특별시,37.547712,127.110347,37.565759,127.119225
8539,Ramp-A교,서울특별시,37.476786,127.120708,37.478221,127.117995
8540,Ramp-B교,서울특별시,37.480036,127.116239,37.477376,127.118722
8541,국민대입구 램프,서울특별시,37.60868,126.999632,37.609788,126.996621
8542,국민대입구진입램프,서울특별시,37.60881,126.998508,37.608197,127.00034
8543,독산1교,서울특별시,37.458724,126.891742,37.459804,126.891029
8544,독산2교,서울특별시,37.459878,126.890859,37.458757,126.89168
8545,상촌고가차도,서울특별시,37.468267,127.035391,37.4678,127.035854
8546,서빙고고가차도(신),서울특별시,37.522312,127.000727,37.520163,126.996765
8547,호암대교,서울특별시,37.437544,126.895586,37.438192,126.90458
8548,호암대교 DOWN RAMP-A교,서울특별시,37.440217,126.897442,37.436038,126.898961
8549,호암대교 DOWN RAMP-B교,서울특별시,37.438686,126.897896,37.441281,126.897689
8550,호암대교 UP RAMP교,서울특별시,37.434912,126.898906,37.438482,126.901049
8551,여의중류램프교,서울특별시,37.517254,126.921464,37.517684,126.918268
8552,정릉천고가도로(1공구),서울특별시,37.57245,127.035808,37.552446,127.04602
8553,정릉천고가도로(2공구),서울특별시,37.602525,127.036431,37.572483,127.035816
8554,홍제천고가교(북부1공구),서울특별시,37.589567,126.937769,37.56177,126.897708
8555,홍제천고가교(북부2공구),서울특별시,37.595889,126.95628,37.589704,126.938493
8556,동부간선진입교,서울특별시,37.652869,127.055043,37.651522,127.055218
8557,우면산고가교,서울특별시,37.460169,127.02834,37.4606,127.023692
8558,램프E교,서울특별시,37.594104,126.800222,37.594355,126.799927
8559,Ramp-J2교,서울특별시,37.527684,127.106604,37.527336,127.107175
8560,Ramp-E 교,서울특별시,37.527666,127.106533,37.526633,127.105564
8561,Ramp-J1교,서울특별시,37.531851,127.1092,37.530326,127.108706
8562,개화 RAMP-F교,서울특별시,37.592045,126.800185,37.592255,126.800434
8563,개화 RAMP-F1교,서울특별시,37.592571,126.801925,37.59259,126.80252
8564,영동6교,서울특별시,37.492891,127.071893,37.493892,127.071362
